,J6,J7,J8,J9,J10,J1,J2,J3,J4,J13,J14,J15,J21,J22,J23,J16,J12,J24,J25,J5,J11,J17,J26,J27,J20,J18,J19,R1,T1,T2,sum,percent,category
Head (Pip_P20),1228.796745300293,1227.8679695129395,1227.3025665283203,1227.01220703125,1226.8103332519531,1227.797306060791,1227.2529983520508,1226.9742240905762,1226.9106941223145,1227.5551300048828,1226.9850769042969,1226.8742904663086,1226.812572479248,1226.8177795410156,1226.8122863769531,1226.8213005065918,1228.2775993347168,1226.8026542663574,1108.71000289917,1141.068588256836,1226.7522201538086,1226.776798248291,1226.7828674316406,1226.7211074829102,1228.1648597717285,1226.8202056884766,1203.9600372314453,1143.0000305175781,1108.71000289917,1203.9600372314453,36361.91049194336,100.0,CAT-1
Head (Pip_P25),1228.7967376708984,1227.8678970336914,1227.3023490905762,1227.0119171142578,1226.7795372009277,1227.7966575622559,1227.2507286071777,1226.9671745300293,1226.8944282531738,1227.556224822998,1226.9886589050293,1226.879295349121,1226.8186874389648,1226.8240242004395,1226.8196067810059,1226.8313484191895,1228.27783203125,1226.808853149414,1108.71000289917,1141.068588256836,1226.6091041564941,1226.5645904541016,1226.7891845703125,1226.7278518676758,1228.1650848388672,1226.8299179077148,1203.9600372314453,1143.0000305175781,1108.71000289917,1203.9600372314453,36361.56639099121,100.0,CAT-1
Head (Pip_P19),1228.796745300293,1227.867935180664,1227.3024673461914,1227.012020111084,1226.7932662963867,1227.7969551086426,1227.251724243164,1226.9703178405762,1226.9016647338867,1227.555721282959,1226.9870986938477,1226.877109527588,1226.8160285949707,1226.8212966918945,1226.8164291381836,1226.8269424438477,1228.277717590332,1226.8061561584473,1108.71000289917,1141.068588256836,1226.7595825195312,1226.7640686035156,1226.7864418029785,1226.7249374389648,1228.1649627685547,1226.8256607055664,1203.9600372314453,1143.0000305175781,1108.71000289917,1203.9600372314453,36361.911949157715,100.0,CAT-1
Head (Pip_P24),1228.796745300293,1227.8680229187012,1227.3029899597168,1227.014347076416,1226.699420928955,1227.7954406738281,1227.2460098266602,1226.9507942199707,1226.8533477783203,1227.5565338134766,1226.989356994629,1226.8958702087402,1226.798885345459,1226.8033599853516,1226.755771636963,1226.6850891113281,1228.277931213379,1226.7875900268555,1108.71000289917,1141.068588256836,1226.6462669372559,1226.6434783935547,1226.7649421691895,1226.6844215393066,1228.165184020996,1226.6937294006348,1203.9600372314453,1143.0000305175781,1108.71000289917,1203.9600372314453,36361.084228515625,100.0,CAT-1
Head (Pip_P28),1228.7967376708984,1227.870491027832,1227.311923980713,1227.0387954711914,1226.7280731201172,1227.7999267578125,1227.2575340270996,1226.9720001220703,1226.87744140625,1227.5347595214844,1226.919418334961,1226.930679321289,1226.163028717041,1226.1494750976562,1226.2065315246582,1226.7151374816895,1228.2729568481445,1226.1497840881348,1108.71000289917,1141.068588256836,1226.6756973266602,1226.67280960083,1226.1233139038086,1226.0838165283203,1228.1602172851562,1226.6531562805176,1203.9600372314453,1143.0000305175781,1108.71000289917,1203.9600372314453,36357.47240447998,99.99,CAT-1
Head (Pip_P33),1228.796745300293,1227.8678665161133,1227.3022270202637,1227.0114517211914,1226.7991943359375,1227.7969818115234,1227.2519187927246,1226.9712028503418,1226.9045524597168,1227.5560874938965,1226.9880409240723,1226.8751525878906,1226.821620941162,1226.827781677246,1226.7653617858887,1226.8024711608887,1228.2778434753418,1226.810302734375,1108.71000289917,1141.068588256836,1226.753574371338,1226.7535362243652,1226.787670135498,1226.7002334594727,1228.165096282959,1226.7979545593262,1203.9600372314453,1143.0000305175781,1108.71000289917,1203.9600372314453,36361.79356765747,100.0,CAT-1
Head (Pip_P38),1228.7967376708984,1227.868019104004,1227.3026962280273,1227.0126342773438,1226.8165016174316,1227.7974853515625,1227.2535934448242,1226.9758529663086,1226.914077758789,1227.5545921325684,1226.9834022521973,1226.873893737793,1226.807144165039,1226.8157196044922,1226.8172149658203,1226.8233680725098,1228.2774810791016,1226.7866325378418,1108.71000289917,1141.068588256836,1226.7724380493164,1226.7728309631348,1226.7456893920898,1226.4719924926758,1228.164752960205,1226.8226203918457,1203.9600372314453,1143.0000305175781,1108.71000289917,1203.9600372314453,36361.636070251465,100.0,CAT-1
Head (Pip_P39),1228.7967376708984,1227.8679237365723,1227.3024139404297,1227.0117835998535,1226.8093338012695,1227.7972259521484,1227.2527656555176,1226.973731994629,1226.910011291504,1227.5554847717285,1226.9862174987793,1226.873878479004,1226.8169441223145,1226.819980621338,1226.799243927002,1226.8146591186523,1228.2777099609375,1226.8130149841309,1108.71000289917,1141.068588256836,1226.7646141052246,1226.7648162841797,1226.8051109313965,1226.5255546569824,1228.1649627685547,1226.8127899169922,1203.9600372314453,1143.0000305175781,1108.71000289917,1203.9600372314453,36361.72560882568,100.0,CAT-1
Head (Pip_P37),1228.7967376708984,1227.8681030273438,1227.3030586242676,1227.0136032104492,1226.8121910095215,1227.7975616455078,1227.2536544799805,1226.9754791259766,1226.9121932983398,1227.553882598877,1226.9811744689941,1226.8763580322266,1226.7960052490234,1226.8235130310059,1226.8033905029297,1226.8178024291992,1228.2773170471191,1226.7111473083496,1108.71000289917,1141.068588256836,1226.767562866211,1226.7678031921387,1226.5413360595703,1226.5410957336426,1228.1645774841309,1226.816032409668,1203.9600372314453,1143.0000305175781,1108.71000289917,1203.9600372314453,36361.380279541016,100.0,CAT-1
Head (Pip_P32),1228.7967376708984,1227.8683242797852,1227.3038177490234,1227.015640258789,1226.8187713623047,1227.7980461120605,1227.2549476623535,1226.978256225586,1226.916431427002,1227.5519676208496,1226.9751014709473,1226.8785209655762,1226.770622253418,1226.824291229248,1226.8174209594727,1226.8254127502441,1228.27685546875,1226.7710227966309,1108.71000289917,1141.068588256836,1226.7745895385742,1226.77494430542,1226.771800994873,1226.7171936035156,1228.164119720459,1226.8244323730469,1203.9600372314453,1143.0000305175781,1108.71000289917,1203.9600372314453,36361.87796783447,100.0,CAT-1
